calificacion,comentarios
10,todo muy bien
9,"con respecto al personal todo excelente,me asesor bien"
8,todo bien
10,muy buena la atencion por parte de todos
10,todo muy bien excelente
10,todo en orden
10,todo muy bien
9,todo bien
9,bien
7,precios
8,los horarios de entrega
9,bien solo que en caja nos tardamos un poco
10,todo en orden
10,todo muy bien
10,todo bien
10,excelente servicio
10,todo perfecto
10,excelente servicio
10,todo bien
6,mejorar los tiempos en refacciones
7,se tardaron una semana en diagnosticar y traer bateria
10,angel es perfecto
9,ser puntuales con sus citas
8,el tiempo de entrega
9,el tiempo de entrega en recepcion
10,"ninguna, todo bien"
10,niinguna
9,todo bien
9,todo bien
10,todo bien
9,"solo las refacciones se tardaron mucho ,tener mas surtido en refacciones"
10,todo bien
10,todo muy bien
6,muy buena
10,desde la llegada todo excelente
10,todos muy amables
10,me atendieron bien
10,excelente servicio
10,que pongan estacionamiento para clientes
9,todo bien en tiempo y forma
9,bien
10,que conteste el celular el asesor
7,los mensajes con mi asesor no se contestaron.
8,"si la atencion,falta mucha atencion ya que no todos son muy serviciales y el tiempo de entrega que sea puntual"
10,solo que contesten las llamadas
10,todo estuvo muy bien
10,todo bien
9,tiempo de espera
10,todo bien
10,solo la disponibilidad de piezas y cuidar mas el lavado ya que rajaron un poco el carro con yazareth todo muy bien
10,todo muy bien
9,ha sido bastante bueno
10,todo excelente
10,muy bien
10,"no,todo estuvo bien"
10,"ninguna, todo bien"
9,la caja es muy tardada del resto todo perfecto a
10,solo tiempo de espera
10,la buena atencion
6,mas atencion en los pequenos detalles que pasan y de la unidad en servicio
10,el costo del servicio bajarlos
10,la atencion siempre es muy buena
10,estuvo bien
10,todo excelente
10,no veo problemas
10,todo bien muy amables
8,tiempos de entrega
10,"todo muy bien,excelente servicio y atencion de yazareth muy amable"
10,esta bien el servicio muy eficiente
10,todo bien
9,"todo bien,solo el tiempo de entrega muy tardado"
5,"no me dieron retro de mi unidad,no me contestaba mi asesora por llamada ni por mensaje"
9,el tiempo de entrega
10,"todo bien con fernando ,solo las piezas caras"
10,todo muy bien
10,todo estuvo muy bien.
10,todo bien
10,excelente servicio
10,excelente atencion
10,excelente atencion
9,ser mas rapida la entrega
9,estuvo bien el asesor
10,todo muy bien felicidades
10,todo bien
9,todo bien
9,excelente servicio
10,"todo muy bien,no quiso proporcionar correo ni numero celular"
10,solo el tiempo de entrega ser mas rapido
10,estuvo muy bien
10,excelente servicio
10,muy agil y amable mi asesor
10,muy adecuada la atencion del asesor muy atento.
10,bien la atencion
10,"no me agrado la atencion de mi asesor,desde que llegue ya que me atendieron 10 min mas tarde de mi cita,llegue y me ignoro ateniendo a otro cliente que llego despues de mi"
10,muy buena atencion del asesor y quedo muy bien mi unidad
10,"ninguna,todo bien"
10,todo bien
2,"fue muy dificil contactar con mi asesor,mucho tiempo no fue grata la experiencia."
5,la tardanza para recibir y entregar
10,"todo estuvo muy bien,solo para hacer la cita por whatsapp se tardaron un poco"
10,fue buena
10,hice poco tiempo para la recepcion y entrega de mi unidad muy bien
10,todo bien
8,no me dieron solucion a mi tema de consumo de gasolina
10,buena atencion
8,todo bien
8,no me responden mis llamadas y la unidad que me entregaron estaba sucias
9,"con mi asesor fernando excelente,solo no me gusto que me dejaran en visto al indicarme que tenia cita tuve que volver a llamar para hacerla."
8,que laven bien los vehiculos
10,todo bien
9,todo bien
10,muy rapido con el tiempo
10,todo excelente
10,todo bueno
10,el servicio es excelente
10,excelente por parte del asesor fernando
10,"todo muy bien ,buena atencion"
9,todo bien
10,"nada,todo bien"
10,todo perfecto
10,todo bien
10,excelente
10,"no,todo bien"
10,execelente servicio
10,"no,todo bien"
9,todo muy bien
10,excelente servicio
9,todo bien
9,todo bien
10,todo muy bien excelente
10,"ninguno,todo bien"
9,todo bien
10,todo estuvo excelente
10,todo bien
10,"todo esta bien,buen servicio"
10,excelente
9,actualizar los vostos en la pagina
10,todo bien
10,"todo bien,excelente agil y rapido"
10,todo muy bien
10,muchas gracias
10,"no,todo excelente"
10,para mi estuve muy atendida y al atencion de fernando muy bien
10,todo esta perfecto
9,"del servicio ningun comentario,con el asesor todo perfecto"
10,solo un poco mas de seguimiento
8,"el asesor deberia de presentarse,buen servicio,"
10,todos son muy atentos y nos queja de eso.
9,"todo bien,nunca he tenido ningun problema"
7,"al momento de hacer la cita todo bien,pero la actitud de mi asesor no me agrado parece que me esta reganando"
10,siempre he tenido buena atencion por parte de ustedes
10,muy buen servicio
10,"ninguna,todo bien"
9,"todo bien,solo la hora de entrega ser mas puntuales"
7,subieron muchos los precios
10,todo bien todo perfecto
6,tiempos de recepcion y entrega
10,el buen trato al cliente
10,me atendieron en tiempo y forma muy bien
10,todo bien
10,el servicio muy bueno
10,bien
10,ampliar el horario de recepcion para el servicio
10,"todo muy bien,solo tener un registro de los servicios que ya estan pagados."
10,"amabilidad, tiempo de servicio"
9,el proceso de facturacion me hizo realizar dos veces la fila en la caja principal de pago
6,falta comunicacion tengo que estar preguntando
10,mantener la puntualidad
8,solo corregir la plataforma de aviso de termino de servicio
10,"no,esta bien"
10,bajar los precios
10,todo bien
10,todo bien
10,todo muy bien
10,todo muy bien
9,todo bien
9,todo bien
9,atencion al cliente
10,todo excelente
10,buena
10,todo bien
10,todo muy positivo
10,todo muy bien excelente servicio como siempre
10,todo bien
10,todo bien
10,todo bien
10,todo bien
10,muy buena
10,no tengo queja me recibieron a buen tiempo
10,todo bien
10,todo bien
10,excelente
9,excelente
10,todo bien
9,me reservo
9,buena
8,un poco tardada la entrega
6,preguntar a fernanda sobre los conarios del cliente
10,todo perfecto
6,califica por hyp en cuanto a servicio todo bien
8,estaria genial q tuvieran servicio de pasar por la unidad al domicilio
6,el carro me lo entregan en 5minutospero pagar mas de media horatres cajas una para ricos y dos para mortales los cajeros parecen burocratas
6,"pues no te alegres porque me pusieron otros tapetes mas viejos que los mios, como reclamo?"
10,todo bien
8,en la entrega no dan detalles de lo que se realizo ni oportunidad de resolver dudas del servicio y dejaron el interior del carro lleno de producto grasoso
6,"le entregaron la unidad con un golpe en la parte trasera y no le notificaron, se dio cuenta hasta que llego a su domicilio/ pide estatus de otra unidad que tiene pendiente por motor"
8,"no hubo seguimiento, no fueron proactivos"
10,les doy un 10
10,todo excelente
6,"buena atencion, noquiere dar mas comentarios referente a su calificacion"
8,"tener mas disponibilidad de citas y concretar rapido la cita, se tardaban mucho para confirmarla"
10,"todo muy bien, solo tiene pendiente una cortesia por parte de ventas y pide se le haga valida"
10,muy buena la atencion de su consultora
10,todo muy bien
8,los tiempos de respuesta de diagnostico
6,"el trato es excelente pero la unidad sigue presentando la misma fuga a pesar de haberse realizado 3 reparaciones, y le entregaron la unidad con rayones"
8,la unidad sigue en el distribuidor
10,todo bien
6,seguimiento con el cliente y no responden telefonos
8,"la limpieza premium en estas dos ultimas ocasiones notamos que no a sido buena, los vidrios estan sucios de la parte de arriba y los botones de la parte del tablero se ven con polvo y mugre"
10,todo bien
10,todo bien
10,contesto la encuesta
10,todo bien
6,la asesora que me atendio no le dio seguimiento a mi cotizacion
8,"lavado pendiente, la unidad de esta deteriorando y no le hicieron valida la garantia"
10,todo muy bien
6,estuvo regular porque tuve que pagar para que me dejaran bien mi carro y tardan muchisimo tiempo para una reparacion . dos meses estubo mi carro adentro por una reparacion sencilla porque no fue un golpe muy fuerte.
6,"l recepcionar mi de mi vehiculo la persona que me recibio no dio el saludo, no me dio su nombre"
10,"no tengo ninguna queja. por el contrario, desde la atencion por parte del personal, hasta la puntualidad con la que se dirigio a mi el agente eduardo arroyo en todo momento para resolver todas mis dudas, la experiencia es sumamente satisfactoria"
6,jamas regresaria ahi prefiero ir con otro concesionario ya que jamas se comunican y cuando uno quiere hablar jamas hay quien atienda la llamada
10,"todo bien, no le han enviado su cotizacion del deflector de calor"
10,todo bien
10,todo bien en el servicio pero la unidad esta nuevamente en el distribuidor
8,entiende la saturacon pero la entrega fue tardada
6,trae encendido el testigo de neumaticos
10,todo bien
10,todo bien
10,ya habia contestado otra encuesta en donde di la mejor calificacion
10,reconoci y felicito el trabajo del asesor
8,mas cominicacion
6,el asesor muy muy amable pero el servicio de la agencia es muy muy malo. ninguna agencia toma 5 dias de diagnostico solo ustedes. las agencias chevrolet todas con un servicio muy lento para todo.
6,son unos rateros
6,con el distribuidor 8
10,todo en orden
6,"no hay hostess, ni ofrecen amenidades como en nissan, no tienen lineamiento ni indicacion por atender al cliente, cita 9:30, observa en el ultimo sillon un cabello en el piso y a las 3:45pm vuelve a estar ahi, la de vigilancia de color caqui, una senorita de color negro y una persona ma en la entrada platicando, en el puesto de cafe hay muchos trabajadores, deberian retirar al del cafe de ahi, una persona mas ofreciendo sus productos a los trabajadores, habia una lata en su unidad, era de el pero no la retiraron en el lavado, una srta mostrando unas esferas luminosas distrayendo a los trabajadores, no le explicaron correctamente la rotacion de ruedas, lo que le da a entender que no saben como se hace"
6,"revisando el detalle facturado, me cobraron cosas que yo no pedi y que el que me atendio me dijo que eran gratis, me refiero al lavado y ceramico"
8,"la eficiencia en la reparacion de fallas reportadas, para que no tenga que regresar 2 o 3 veces por el mismo problema"
10,todo bien
10,todo bien excelente atencion
10,"no,todo bien"
9,todo bien
10,"ninguna, todo bien"
10,muy bien
10,la calidad del servicio
9,todo muy bien
9,"no,todo bien"
10,es muy buen servicio
10,"no,estuvo bien muy a gusto"
10,todo bien
9,todo bien
10,"no,todo bien"
10,muy buen servicio excelente
10,esta ocasion muy excesivo la informacion para servicio .pero todo bien
10,"no,todo excelente"
10,todo excelente
10,"no,todo bien"
10,muy buena
10,todo bien
10,"no,todo bien"
10,todo muy bien
9,solo en la entrada se hace mucha fila
9,todo bien
10,"nada, todo bien"
10,todo bien
9,todo bien
10,muy bien
10,es la segunda vez que vengo y todo correcto
9,todo bien
10,muy eficiente
10,todo muy bien
10,muy bien
9,ser mas informativos con el cliente dar mas seguimiento
10,me atendio excelente la srta. monserrat
10,"hasta ahorita todo bien, excelente"
10,"ninguna,todo bien"
10,"todo bien,solo ser mas puntuales al recibir la cita"
10,me han atendido muy bien desde la primera vez
10,no estuvo excelente el servicio
10,"no, ningun todo bien"
9,bien
10,todo bien
10,"no,muy buena atencion"
10,todo bien
10,siempre he venido aqui con ustedes todo bien
10,todo bien
10,todo bien
10,"por parte del asesor , excelente atencion"
10,"no,esta todo muy bien"
9,todo bien
10,todo bien
10,todo muy bien
10,no todo perfecto
10,tiempos de entrega
10,muy buena
10,quede satisfecho
10,no ninguna todo bien
10,todo bien
10,"no,todo muy cumplido"
10,mumiy buen servicio en todo.
10,todo muy bien
10,todo bien
9,todo bien
8,excelente
9,todo bien
10,"nada,todo muy bien"
10,no todo esta muy bien
10,todo bien
10,nos atendieron muy bien
9,"muy bien , gracias"
10,"solo es chico de la caja muy grosero ,lo demas muy bien"
10,muy puntuales
10,"todo estuvo perfecto,esta muy bien"
10,siempre me atienden muy bien
10,"muy buena siempre me atiende bien,no me agrado el lavado"
10,muy bueno el trabajo
6,pues en general la atencion al cliente es super importante estoy en insatisfecho
10,"no,todo muy bien puntuales y mucha comunicacion"
10,excelente
10,excelente servicio muy rapido
9,bien
6,muy tardado el tiempo de entrega y el lavado muy mal lavado
9,los tiempos de respuesta de las refacciones
10,todo muy bien
9,todo bien
9,"nunca contestan cuando llamo al area de servicio,excelente atencion de mi asesora"
10,muy bien
10,muy buena
10,todos fueron muy amables y rapido
10,muy bueno el trabajo
10,atencion excelente y muy rapido mi solucion
10,excelente servicio
10,todo bien
10,todo en orden
9,todo bien
10,todo bien
10,todo bien
10,la atencion y la comunicacion
10,muy buena
10,todo muy bien
9,todo bien
10,"no ,esta todo hien"
10,todo bien
10,todo bien
9,todo bien
9,una sala de espera mas amplia y mas amenidades
10,caja mas eficiente
10,todo excelente
10,todo bien
9,todo bien
10,buena atencion y puntualidad
10,deberian checar mas las garantias de lo demas todo bien
10,solo mejorar los tiempos de refacciones ya que son muy tardado. de ahi en fuera todo bien
10,excelente servicio
10,solo la puntualidad al recibir
9,"de mi asesor todo bien,solo me sorprende el incremento de precios"
10,un servicio excelente
10,muy bien
10,muy buena la atencion de mi asesor segundo contacto 5663982289
7,"muy tardado el diagnostico,el asesor todo bien ,solo las circunstancias de la reparacion"
10,todo bien
10,"no,todo bien"
10,atencion maravillosa
9,todo bien
10,"todo excelente, todo perfecto"
10,fue rapida la atencion
10,"ninguna,todo bien"
10,excelente
10,"todo muy bien,solo el cajero demasiado grosero"
9,"esta ocasion estuvo bien todo, no como la vez pasada"
9,"solo aclarar bien los costos de servicios , muy bien con el asesor"
10,"no,todo esta bien"
10,todo bien
10,todo excelente
10,siempre me atiende de bien
10,giovani excelent3 servicio
0,"en general la actitud de servicio es muy grosera,no son eficientes,pesima experiencia"
10,todo bien
10,excelente atencion
10,estan correcto
10,no todo me parecio perfecto
9,todo bien
10,el cumplimiento de los plazos
10,todo muy bien
10,todo muy bien
10,todo esta excelente
8,los tiempos de entrega ser menos tardios y pedi corregir mi placa y no lo hicieron
10,"no, todo bien"
10,"ninguna, toda bien"
8,todo bien
10,todo bien
9,"solo el tiempo de entrega de la refaccion,en general muy buena atencion"
5,tiempo de atencion citan a una hora y no atienden en tiempo
10,excelente
10,todos son muy amables. felicitaciones por sus atenciones
8,"ninguna, no quiso proporcionar num celular"
10,todo bien
9,falta un poco mas de contacto con el cliente por parte del asesor ni el saludos lo dio.
10,muy buena
8,"todo bien,"
10,cada vez lo estan haciendo mejor
8,tiempos de entrega mas cortos.
9,todo bien
10,todo bien
10,excelente
10,"ningu a,excelente atencion"
10,excelente
10,es mi primera vez y estoy satisfecho
10,todo bien
10,todo perfecto
10,es muy buena la atencion
10,solo los msj automaticos no son necesarios si las unidades no estan listas
10,"no,esta muy bien servicio"
10,muy buena la atencion
10,muy buenos atencion
10,"la atencion es buena,lo malo es agendar no se podia iba de extension en extension y tuve que contactar a mi vendedor."
9,me hicieron esperar para la entrega
10,"nada,todo es excelente"
10,solo explicar mas los pagos que se realizan
10,al momento de entrega ser mas rapida
9,solo la entrega ser mas agil
9,todo muy bien con la asesora
9,muy bien todo
8,porque pregunte dudas y no resolvieron y yo tenia que pedir seguimiento
10,todo bien
10,todo bien
10,excelente atencion
9,"hasta el momento estaba bien,solomque espere mucho para la entrega por el lavado"
9,todo bien
10,super agradecida por que la entrega fue a tiempo
9,todo esta muy bien y sobre el producto solo que fuera menos pesada o pudieran un motor mas grande
9,un poco mas de comunicacion con el asesor para entrega y trabajos
10,muy buena atencion
10,todo maravilloso como siempre
10,"todo bien con yaz , buena atencion"
9,la atencion muy buena
10,"todo muy bien, gracias"
10,no por el momento
10,"que sigan asi con el servicio,muy atentos"
10,muy buen servicio
10,muy buena
10,"todo es excelente,continuen en esa linea"
10,faltan mas sillas para sala de espera
8,"todo bien,solo que no cuentan con filtro y el sistema no te deja autorizar"
10,todo bien
9,"ninguna,todo bien"
9,todo bien
9,todo bien
10,"solo la confusion de la cita,tener mas cuidado con eso"
9,solo ser mas personalizados
9,"ninguna,todo bien"
10,"ninguno,muy bien todo"
10,todo muy bien
10,todo muy bien
6,"a surman no recomiendo, pero la atencion de yazareth y el servicio estuvo muy bien"
10,muy bien
8,excelente
10,"nada,todo bien"
10,execelente atencion
10,todo va bien
10,la senora siempre me mantuvo informada del estatus de mi unidad
9,todo bien
10,siempre me han tratado muy bien
10,todo bien
10,"ninguno,todo bien"
10,todo excelente
10,"todo bien, excelente servicio y atencion de mi asesor"
0,pesimo servicio
10,excelente
7,por el tiempo de espera para la entrega
9,todo bien
10,"todo muy bien, me mantuvo al tanto de mi unidad y adicionales"
10,todo bien
9,"es buena la atencion,solo en caja se tardan mucho"
10,"no,todo estuvo muy bien"
10,"nada, excelente atencion"
10,"solo que se tardan en recibir,de lo demas todo bien"
8,ser mas rapidos
1,"les hace falta mucho en la atencion,limpieza de unidad y horario de recepcion muy tardio."
10,"no,ninguno"
10,"ninguno, todo bien"
10,todo bien
10,todo bien
10,todo bien
9,"la entrega muy tardada ,espere media hora, solo que sea mas rapida"
10,muy buena atencion por parte de eduardo arroyo
10,"todo muy bien,muy amables"
10,todo excelente
10,eduardo arroyo muy bien su atencion es excelente.
9,niinguna
4,"me tardaron mucho para la entrega me citaron 4:00 y son las 6 se equivocan al dar los documentos,pesimo servicio"
9,"todo excelente, solo para la entrega muy tardado"
10,todo bien
9,estuvo bien todo
10,todo muy bien
10,todo bien
10,todo esta muy bien
10,todo perfecto
5,"todo bien, solo me entregaron mi unidad con un rayon"
10,todo muy bien
10,todo bien
10,todo bien
9,"todo bien,solo el costo hasta muy alto"
6,"estuvo bien,solo no me gusto que marcara que los frenos no eran originales,eso me hizo dudar,la atencion muy bien"
10,"ninguno,todo bien"
10,todo bien
8,la promesa de entrega muy tardado
10,estoy conforme
10,la puntualidad para la entrega nada mas y coordinacion en costos de servicio
10,esta bien todo
10,los precios se estan en careciendo mucho
10,"muy linda mi asesora,todo bien con ella"
9,"solo el tiempo de espera,tener mas comunicacion con el cliente"
9,todo bien
7,la asesora me atendio tarde y en la entrega tambien se tardo y me entrego unidad sin lavar
10,me atendieron muy bien
10,todo perfecto
9,todo muy bien con mi asesora
10,todo excelente
9,todo bien
10,todo bien
10,"todo bien,revisan bien la unidad te tienen informado de lo que necesita la unidad"
10,estuvo bien
10,todo bien.
10,todo muy bien
9,todo bien
10,todo muy bien
9,"todo excelente, solo para la entrega muy tardado"
10,muy buena la atencion
9,nos piden llegar temprano y se tardan en atender cuanto uno llega
8,"son muy incincivos, al principio muy serio mi asesor despues ya no bien la atencion"
9,todo bien
10,solo falto proporcionar el numero celular del asesor.
10,la atencion en caja es pesima
10,"todo muy bien,solo tarda mucho el servicio de colocacion de piezas"
10,me asesoraron del servicio todo muy bien
9,"solo el tiempo de entrega,no salin"
10,"todo bien con yaz , buena atencion"
10,todo muy bien
10,"la realidad,todo esta muy bien"
10,"nada qie mejorar, todo muy bien"
10,todo muy bien
9,todo bien
8,"bien,solo que tardaron en recibirme"
10,excelente servicio
10,todo bien
10,todos muy bien y atentos
6,solicita factura y falta de seguimiento de su consultora yazareth
0,"mala atencion por parte de control de calidad, fue muy grosera"
6,"no muetran las piezas que cambian, tardan muchos dias en diagnostico"
6,de gm no reconmdaria nada
8,agilisar el resivo de las unidads creo nos ayudaria mucho
8,entregas mas agiles
0,"reporta golpes en carroceria, faro roto y vestiduras sucias"
8,el tiempo de respuesta de los mensajes
10,comenta que su unidad sigue presentando la misma falla por la que ingreso al distribuidor
8,mejor calidad del producto/ el servicio y el personal 10
9,no tardar tanto en enviar presupuestos
0,se me hace absurdo que pague mas de 14 mil pesos en un servicio y (paquete premium) y la unidad me la hayan entregado demasiado sucia (juan zarate )
0,"no tiene comentarios pero es observacion, no enviar mensajes de que el auto ya esta listo si aun no lo pueden entregar"
10,la unidad quedo grasosa de los interiores (luis fernando)
0,"reporta golpes en carroceria, faro roto y vestiduras sucias"
10,todo muy bien
9,solo 9 no tiene comentarios
10,todo muy bien
9,"nada, todo bien"
8,"ya estaba en camino y le dijeron que la unidad aun no estaba lista, le entregaron despues de la hora acordada"
8,no hacer presupuestos tan inflados de reparaciones que ademas no urgen
10,todo muy bien
10,todo bien
8,tardaron en entregarle la unidad
10,"todo bien en el servicio, tiene pendientes sus placas"
8,sugiere agregar fotos de ras refacciones remmplazadas como prueba de que si le colocaron nuevas piezas
10,todo muy bien
10,todo bien pero la mano de obra es muy cara
8,en su segunda visita todo mejoro y califica con10
10,todo bien
10,muy recomendable el servicio sobre todo la atencion del valet es muy comodo enviar los autos asi.
0,nunca me contestaron el telefono
8,por la noche ese mismo dia me empezo a fallar la direccion... una muy desafortunada coincidencia 😐
8,"tuvieron que regresar porque la unidad seguia sacando humo del escape, regreso al distribuidor y lo repararon"
10,todo estuvo en orden
10,todo bien
10,confirma calificacion de 10 aunque le hes molesto que le llamen para hacer otra encuesta
10,todo salio bien
10,todo estuvo bien
6,reporta retrovisor roto
10,todo estuvo muy bien
10,todo muy bien
10,todo estuvo muy bien
10,todo perfecto
10,todo bien
10,todo bien
10,"solo dejaria como observacion que no sellaron mi poliza el dia de mi servicio, me la sellaron el dia de hoy. y respecto al lavado, es la segunda vez y no esta bien lavado, ademas de que los asientos no los dejan como cuando ingreso la unidad (admon. lavador))"
10,todo muy bien
6,le querian cobrar mas sin haber autorizado
8,"el lavado de cortesia, pienso que deberia ser mejor (admon lavador)"
10,todo muy bien
10,todo estuvo perfecto
10,todo estuvo perfecto
10,todo estuvo muy bien
10,en el ultimo servicio si los recomiendo pero en el anterior del 05 de abril me quedo con una sensacion de que no se le da el seguimiento adecuado
6,"mal trato por parte del personal, tardaron en recibir la unidad, el vehiculo estaba sucio por dentro (juan zarate )"
10,todo estuvo perfecto
6,la unidad sigue en el distribuidor
6,comenta que lo atendieron tarde y le quisieron vender algo que no necesitab a
10,todo esta bien hasta el momento
0,lo mensione en la encuesta de la.agencia
9,cajas mas eficientes y solicita factura
8,no le mostraron el servicio realizado ni revisaron las cosas que reporto
8,comenta que tuvo inconveniente con el lavado que se realizo y ya lo reporto con alguien mas (luis fernando)
10,todo estuvo en orden
10,todo estuvo excelente
9,excelente atencion
10,"excelente por hoy,siempre son muy atentos y amables"
10,"todo bien,todo perfecto"
10,todo bien
10,toda esta perfecto
10,muy buen servicio
10,todo bien
10,todo muy bien
10,es muy linda mi asesora
10,muy buen servicio
10,excelente
10,"el servicio todo bien,solo que no pudieron hacer mi estetica interior"
9,es muy repetitivo estar brindando nuestros datos y los costos esta muy caro
10,todo muy bien
8,el tiempo de entrega respetarlo.y brindar mejor la informacion sobre lo que requiere unidad
10,"ninguno,todo muy bien"
8,tiempo de entrega muy largo
10,todo es muy bueno
9,un poco mas de comunicacion
10,muy agradecido por la atencion de fernando y de todos
9,"todo muy bien como siempre, solo esta ocasion me entregaron mi unidad con un pequeno golpe."
5,"mucho tiempo sin retroalimentacion por parte del asesor,amables pero no hay comunicacion"
10,muy buena atencion
10,buena atencion
10,todo estuvo bien
10,buena atencion
10,siempre pido la primera cita y siempre llega tarde la persona que me atendera
10,excelente
9,esta bien la atencion
10,todo bien
10,todo muy bien
10,todo bien
10,excelente servicio
10,todo en orden
10,todo bastante bien
3,ser mas claro en la informacion de los costos y que deshabiliten las opciones de servicio ya que no lo dirigen a donde uno quiere
10,excelente
10,todo bien
10,excelente servicio
10,todo excelente
7,los precios son muy altos
10,buena atencion
8,todo bien
10,excelente atencion
9,todo bien
10,excelente servicio
4,"la asistencia de mi asesor buena,el tiempo del trabajo muy extenso"
10,me cumplieron en tiempo y forma
9,todo bien
10,todo bien
10,todo bien
10,todo muy bien
10,"ninguna ,todo bien"
10,todo muy bien
9,todo bien
10,hacer una cita por telefono es complicado
10,todo bien
10,estuvo muy bien
8,por que no pasaron el escaner porque quieren mas dinero con sus diagnosticos de 3 dias
8,"todo muy bien,solo mas comunicacion con el cliente"
10,todo bien
10,todo bien
10,todo bien
10,todo estuvo bien
10,todo muy bien gracia
10,todo bien
10,todo bien
10,atencion increible especifica clara y supieron escuchar mis puntos del auto
9,"todo esta perfecto,solo los tiempos de entrega"
9,la entrega es muy tardada
10,todo bien
7,"todo bien con la asesora,solo que la entrega se demoro muchisimo"
10,todo bien
1,falta de comunicacion para recoger unidad
10,todo en orden
10,muy buena atencion y servicio
9,la atencion mejoro muchisimo al cambio de personal
10,"el sr arroyo muy profesional, cumplio en tiempo y forma"
6,"muy mal servicio,nadie me atiende"
10,todo muy bien
10,todo bien
9,todo bien
9,todo bien
10,todo muy bien
1,el lavado de carroceria es horrible
10,muy buena su atencion
10,muy bueno y rapido
10,"ninguna,todo bien"
10,bien todo bien
9,bien
9,todo bien
10,todo bien
9,"todo bien,solo que me entregaron unidad con un rayon"
8,solo mayor comunicacion y mayor compromiso con los tiempo de entrega
10,todo muy bien
10,excelente servicio en todo
10,muy bueno
9,bien
10,todo perfecto
10,buenisimo mi asesor eduardo muy rapido
10,su atencion fue rapida
10,excelente
10,todo muy bien
8,"todo bien,solo mas rapidez en la entrega"
10,todo bien
9,me cambiaron horario de entrega pero todo bien
9,todo bien
10,todo bien
9,"la atencion fue muy buena,solo lo que me estan queriendo cobrar por los adicionales esta muy excesivo"
10,buena
10,en esta ocasion excelente
10,"excelente trabajo, solo el tiempo de entrega"
10,"muy bien, excelente"
9,todo bien por el momento
10,siempre es excelente
10,excelente atencion
8,fue tardia la entrega
9,buena
10,bastante buena
10,buena
10,mejora desde mi ultima vista
9,"ninguna,todo bien"
10,"todo muy bien,gracias"
9,todo bien
10,"bien,todo bien"
1,"que sean mas cumplidos, respondan y expliquen que tiene y que no tiene garantia"
10,siempre ha sido muy rapido y amable mi asesor
10,todo estuvo bien
10,todo bien
10,bien hasta el momento
10,excelente
10,buenos precios
10,excelente atencion
10,todo bien
9,todo bien
8,mandarme las fotos de las reparaciones despues de la autorizacion
10,"ninguna,todo bien"
10,todo muy bien
10,excelente servicio
10,todo bien
10,todo bien
10,todo bien
1,"excesivo tiempo para cotizacion y reparacion ,asi como en el cobro 25 min para pagar. el asesor muy bien"
10,me atendieron bien y fue rapido
10,la atencion es muy buena son atentos y muy amables
10,excelente servicio
10,todo muy bien
10,todo bien
9,"todo bien ,buena atencion"
10,muy buena la atencion
10,una atencion muy buena muy atentos todos
10,"excelente, cotizacion esta bien solo m.o muy alto"
10,vamos bien
10,si me atendieron muy bien
5,"el servicio deja mucho que desear, es muy malo."
10,todo bien
10,todo bien
10,execelente
9,"todo muy bien ,es mi primer servicio todo en tiempo y forma"
10,todo al 100
9,lo unico es que me llego un msj de gm que la unidad no estaba lista cuando llame me dijeron que no
10,todo bien
10,excelente
10,"mantenerse en contacto para saber como va el servicio, desinformacion en llamada y whatsapp"
9,la espera en el cajero
7,todo bien
10,todo bien
10,no lo lavaron al 100% como le dijeron
10,todo bien
10,todo bien
10,todo muy bien
10,todo bien
10,cita en linea
10,todo bien
9,todo bien
6,no le contestan en servicio
10,todo bien
10,bien trabajado
10,todo bien
10,todo bien
10,todo bien
9,mas rapidez en el servicio
9,bien
9,todo bien
9,tood muy bien
10,aguarda
10,muy buena atencion y servicio
10,puntualidad con el servicio
10,todo bien
6,"servicio deja mucho que desear, no hay seguimiento, no va a regresar"
10,todo muy bien y excelente atencion
9,bien
10,"todo bien ,puntualidad y velocidad"
10,todo bien
8,cuando hable me dijeron que tenia dos campanas y cuando vine solo dijeron que una
10,es buena
8,"todo bien, el proceso es lento"
8,"su asesor esta desinformado, necesita mas informacion de garantias."
10,todo bien
9,todo bien
10,todo bien
9,todo bien
9,que sigan con el servicio.
10,"esta bien, no hay quejas."
9,buena
10,todo bien
10,"todo bien, en orden."
10,excelente atencion
10,todo bien
10,todo bien
8,el tiempo de espera es muy tardado
10,todo muy bien
10,la persona que lp busco por whatsapp no le comento sobre su campana
10,"todo bien, agradezco el servicio"
10,excelente
10,todo bien
9,todo muy bien
9,todo bien
9,todo bien
10,todo muy bien
10,"todo bien, el tiempo de espera es el indicado."
10,todo excelente
10,muy buen servicio.
10,todo bien
10,los asesores siempre han sido muy agradables
10,excelente servicio desde que llegue
10,"todo bie, solo que no me gusto que me entregaran mojado el auto"
10,todo bien
10,buena
10,precios altos de focos
10,precios altos
10,muy buena atencion
10,todo muy bueno
9,"tiempo de espera, fue mas de hora y media esperando"
10,"no les dieron de lo que le hicieron, o como se encuentra su carro. mas explicito."
9,bien
10,no hay lugar para estacionarse
10,todo le han resuelto correctamente
10,"todo bien, menos un pago de cargos moratoria, no han hecho la devolucion, ni me han dado respuesta."
10,todo bien
7,en el servicio no se le observo que requeria cambio de balatas y no le fijaron que requeria cambio de filtro
10,esta muy caro
10,todo bien
10,todo bien
10,todo bien
9,mucho tiempo de espera
10,todo bien por el momento
10,todo excelente
