,calificacion,comentarios,Clasificacion
473,10,siempre he tenido buena atencion por parte de ustedes,
474,9,"todo bien,solo la hora de entrega ser mas puntuales",
475,7,subieron muchos los precios,
476,6,tiempos de recepcion y entrega,
477,10,el buen trato al cliente,
478,10,me atendieron en tiempo y forma muy bien,
479,10,el servicio muy bueno,
480,10,ampliar el horario de recepcion para el servicio,
481,10,"todo muy bien,solo tener un registro de los servicios que ya estan pagados.",
482,10,"amabilidad, tiempo de servicio",
483,9,el proceso de facturacion me hizo realizar dos veces la fila en la caja principal de pago,
484,6,falta comunicacion tengo que estar preguntando,
485,10,mantener la puntualidad,
486,8,solo corregir la plataforma de aviso de termino de servicio,
487,10,"no,esta bien",
488,10,bajar los precios,
489,9,atencion al cliente,
490,10,buena,
491,10,todo muy positivo,
492,10,todo muy bien excelente servicio como siempre,
493,10,no tengo queja me recibieron a buen tiempo,
494,9,me reservo,
495,8,un poco tardada la entrega,
496,6,preguntar a fernanda sobre los conarios del cliente,
497,6,califica por hyp en cuanto a servicio todo bien,
498,8,estaria genial q tuvieran servicio de pasar por la unidad al domicilio,
499,6,el carro me lo entregan en 5minutospero pagar mas de media horatres cajas una para ricos y dos para mortales los cajeros parecen burocratas,
500,6,"pues no te alegres porque me pusieron otros tapetes mas viejos que los mios, como reclamo?",
501,8,en la entrega no dan detalles de lo que se realizo ni oportunidad de resolver dudas del servicio y dejaron el interior del carro lleno de producto grasoso,
502,6,"le entregaron la unidad con un golpe en la parte trasera y no le notificaron, se dio cuenta hasta que llego a su domicilio/ pide estatus de otra unidad que tiene pendiente por motor",
503,8,"no hubo seguimiento, no fueron proactivos",
504,10,les doy un 10,
505,6,"buena atencion, noquiere dar mas comentarios referente a su calificacion",
506,8,"tener mas disponibilidad de citas y concretar rapido la cita, se tardaban mucho para confirmarla",
507,10,"todo muy bien, solo tiene pendiente una cortesia por parte de ventas y pide se le haga valida",
508,10,muy buena la atencion de su consultora,
509,8,los tiempos de respuesta de diagnostico,
510,6,"el trato es excelente pero la unidad sigue presentando la misma fuga a pesar de haberse realizado 3 reparaciones, y le entregaron la unidad con rayones",
511,8,la unidad sigue en el distribuidor,
512,6,seguimiento con el cliente y no responden telefonos,
513,8,"la limpieza premium en estas dos ultimas ocasiones notamos que no a sido buena, los vidrios estan sucios de la parte de arriba y los botones de la parte del tablero se ven con polvo y mugre",
514,10,contesto la encuesta,
515,6,la asesora que me atendio no le dio seguimiento a mi cotizacion,
516,8,"lavado pendiente, la unidad de esta deteriorando y no le hicieron valida la garantia",
517,6,estuvo regular porque tuve que pagar para que me dejaran bien mi carro y tardan muchisimo tiempo para una reparacion . dos meses estubo mi carro adentro por una reparacion sencilla porque no fue un golpe muy fuerte.,
518,6,"l recepcionar mi de mi vehiculo la persona que me recibio no dio el saludo, no me dio su nombre",
519,10,"no tengo ninguna queja. por el contrario, desde la atencion por parte del personal, hasta la puntualidad con la que se dirigio a mi el agente eduardo arroyo en todo momento para resolver todas mis dudas, la experiencia es sumamente satisfactoria",
520,6,jamas regresaria ahi prefiero ir con otro concesionario ya que jamas se comunican y cuando uno quiere hablar jamas hay quien atienda la llamada,
521,10,"todo bien, no le han enviado su cotizacion del deflector de calor",
522,10,todo bien en el servicio pero la unidad esta nuevamente en el distribuidor,
523,8,entiende la saturacon pero la entrega fue tardada,
524,6,trae encendido el testigo de neumaticos,
525,10,ya habia contestado otra encuesta en donde di la mejor calificacion,
526,10,reconoci y felicito el trabajo del asesor,
527,8,mas cominicacion,
528,6,el asesor muy muy amable pero el servicio de la agencia es muy muy malo. ninguna agencia toma 5 dias de diagnostico solo ustedes. las agencias chevrolet todas con un servicio muy lento para todo.,
529,6,son unos rateros,
530,6,con el distribuidor 8,
531,6,"no hay hostess, ni ofrecen amenidades como en nissan, no tienen lineamiento ni indicacion por atender al cliente, cita 9:30, observa en el ultimo sillon un cabello en el piso y a las 3:45pm vuelve a estar ahi, la de vigilancia de color caqui, una senorita de color negro y una persona ma en la entrada platicando, en el puesto de cafe hay muchos trabajadores, deberian retirar al del cafe de ahi, una persona mas ofreciendo sus productos a los trabajadores, habia una lata en su unidad, era de el pero no la retiraron en el lavado, una srta mostrando unas esferas luminosas distrayendo a los trabajadores, no le explicaron correctamente la rotacion de ruedas, lo que le da a entender que no saben como se hace",
532,6,"revisando el detalle facturado, me cobraron cosas que yo no pedi y que el que me atendio me dijo que eran gratis, me refiero al lavado y ceramico",
533,8,"la eficiencia en la reparacion de fallas reportadas, para que no tenga que regresar 2 o 3 veces por el mismo problema",
534,10,todo bien excelente atencion,
535,10,la calidad del servicio,
536,10,es muy buen servicio,
537,10,"no,estuvo bien muy a gusto",
538,10,muy buen servicio excelente,
539,10,esta ocasion muy excesivo la informacion para servicio .pero todo bien,
540,9,solo en la entrada se hace mucha fila,
541,10,"nada, todo bien",
542,10,es la segunda vez que vengo y todo correcto,
543,10,muy eficiente,
544,9,ser mas informativos con el cliente dar mas seguimiento,
545,10,me atendio excelente la srta. monserrat,
546,10,"hasta ahorita todo bien, excelente",
547,10,"todo bien,solo ser mas puntuales al recibir la cita",
548,10,me han atendido muy bien desde la primera vez,
549,10,no estuvo excelente el servicio,
550,10,"no, ningun todo bien",
551,10,"no,muy buena atencion",
552,10,siempre he venido aqui con ustedes todo bien,
553,10,"por parte del asesor , excelente atencion",
554,10,"no,esta todo muy bien",
555,10,no todo perfecto,
556,10,quede satisfecho,
557,10,no ninguna todo bien,
558,10,"no,todo muy cumplido",
559,10,mumiy buen servicio en todo.,
560,10,"nada,todo muy bien",
561,10,no todo esta muy bien,
562,10,nos atendieron muy bien,
563,9,"muy bien , gracias",
564,10,"solo es chico de la caja muy grosero ,lo demas muy bien",
565,10,muy puntuales,
566,10,"todo estuvo perfecto,esta muy bien",
567,10,siempre me atienden muy bien,
568,10,"muy buena siempre me atiende bien,no me agrado el lavado",
569,10,muy bueno el trabajo,
570,10,"no,todo muy bien puntuales y mucha comunicacion",
571,10,excelente servicio muy rapido,
572,6,muy tardado el tiempo de entrega y el lavado muy mal lavado,
573,9,los tiempos de respuesta de las refacciones,
574,9,"nunca contestan cuando llamo al area de servicio,excelente atencion de mi asesora",
575,10,todos fueron muy amables y rapido,
576,10,atencion excelente y muy rapido mi solucion,
577,10,la atencion y la comunicacion,
578,10,"no ,esta todo hien",
579,9,una sala de espera mas amplia y mas amenidades,
580,10,caja mas eficiente,
581,10,buena atencion y puntualidad,
582,10,deberian checar mas las garantias de lo demas todo bien,
583,10,solo mejorar los tiempos de refacciones ya que son muy tardado. de ahi en fuera todo bien,
584,10,solo la puntualidad al recibir,
585,9,"de mi asesor todo bien,solo me sorprende el incremento de precios",
586,10,un servicio excelente,
587,10,muy buena la atencion de mi asesor segundo contacto 5663982289,
588,7,"muy tardado el diagnostico,el asesor todo bien ,solo las circunstancias de la reparacion",
589,10,atencion maravillosa,
590,10,"todo excelente, todo perfecto",
591,10,fue rapida la atencion,
592,10,"todo muy bien,solo el cajero demasiado grosero",
593,9,"esta ocasion estuvo bien todo, no como la vez pasada",
594,9,"solo aclarar bien los costos de servicios , muy bien con el asesor",
595,10,"no,todo esta bien",
596,10,siempre me atiende de bien,
597,10,giovani excelent3 servicio,
598,0,"en general la actitud de servicio es muy grosera,no son eficientes,pesima experiencia",
599,10,estan correcto,
600,10,no todo me parecio perfecto,
601,10,el cumplimiento de los plazos,
602,10,todo esta excelente,
603,8,los tiempos de entrega ser menos tardios y pedi corregir mi placa y no lo hicieron,
604,10,"no, todo bien",
605,10,"ninguna, toda bien",
606,9,"solo el tiempo de entrega de la refaccion,en general muy buena atencion",
607,5,tiempo de atencion citan a una hora y no atienden en tiempo,
608,10,todos son muy amables. felicitaciones por sus atenciones,
609,8,"ninguna, no quiso proporcionar num celular",
610,9,falta un poco mas de contacto con el cliente por parte del asesor ni el saludos lo dio.,
611,8,"todo bien,",
612,10,cada vez lo estan haciendo mejor,
613,8,tiempos de entrega mas cortos.,
614,10,"ningu a,excelente atencion",
615,10,es mi primera vez y estoy satisfecho,
616,10,es muy buena la atencion,
617,10,solo los msj automaticos no son necesarios si las unidades no estan listas,
618,10,"no,esta muy bien servicio",
619,10,muy buena la atencion,
620,10,muy buenos atencion,
621,10,"la atencion es buena,lo malo es agendar no se podia iba de extension en extension y tuve que contactar a mi vendedor.",
622,9,me hicieron esperar para la entrega,
623,10,"nada,todo es excelente",
624,10,solo explicar mas los pagos que se realizan,
625,10,al momento de entrega ser mas rapida,
626,9,solo la entrega ser mas agil,
627,9,todo muy bien con la asesora,
628,9,muy bien todo,
629,8,porque pregunte dudas y no resolvieron y yo tenia que pedir seguimiento,
630,9,"hasta el momento estaba bien,solomque espere mucho para la entrega por el lavado",
631,10,super agradecida por que la entrega fue a tiempo,
632,9,todo esta muy bien y sobre el producto solo que fuera menos pesada o pudieran un motor mas grande,
633,9,un poco mas de comunicacion con el asesor para entrega y trabajos,
634,10,todo maravilloso como siempre,
635,10,"todo bien con yaz , buena atencion",
636,10,"todo muy bien, gracias",
637,10,no por el momento,
638,10,"que sigan asi con el servicio,muy atentos",
639,10,"todo es excelente,continuen en esa linea",
640,10,faltan mas sillas para sala de espera,
641,8,"todo bien,solo que no cuentan con filtro y el sistema no te deja autorizar",
642,10,"solo la confusion de la cita,tener mas cuidado con eso",
643,9,solo ser mas personalizados,
644,10,"ninguno,muy bien todo",
645,6,"a surman no recomiendo, pero la atencion de yazareth y el servicio estuvo muy bien",
646,10,execelente atencion,
647,10,todo va bien,
648,10,la senora siempre me mantuvo informada del estatus de mi unidad,
649,10,siempre me han tratado muy bien,
650,10,"todo bien, excelente servicio y atencion de mi asesor",
651,0,pesimo servicio,
652,7,por el tiempo de espera para la entrega,
653,10,"todo muy bien, me mantuvo al tanto de mi unidad y adicionales",
654,9,"es buena la atencion,solo en caja se tardan mucho",
655,10,"no,todo estuvo muy bien",
656,10,"nada, excelente atencion",
657,10,"solo que se tardan en recibir,de lo demas todo bien",
658,8,ser mas rapidos,
659,1,"les hace falta mucho en la atencion,limpieza de unidad y horario de recepcion muy tardio.",
660,10,"no,ninguno",
661,10,"ninguno, todo bien",
662,9,"la entrega muy tardada ,espere media hora, solo que sea mas rapida",
663,10,muy buena atencion por parte de eduardo arroyo,
664,10,"todo muy bien,muy amables",
665,10,eduardo arroyo muy bien su atencion es excelente.,
666,4,"me tardaron mucho para la entrega me citaron 4:00 y son las 6 se equivocan al dar los documentos,pesimo servicio",
667,9,"todo excelente, solo para la entrega muy tardado",
668,9,estuvo bien todo,
669,5,"todo bien, solo me entregaron mi unidad con un rayon",
670,9,"todo bien,solo el costo hasta muy alto",
671,6,"estuvo bien,solo no me gusto que marcara que los frenos no eran originales,eso me hizo dudar,la atencion muy bien",
672,8,la promesa de entrega muy tardado,
673,10,estoy conforme,
674,10,la puntualidad para la entrega nada mas y coordinacion en costos de servicio,
675,10,esta bien todo,
676,10,los precios se estan en careciendo mucho,
677,10,"muy linda mi asesora,todo bien con ella",
678,9,"solo el tiempo de espera,tener mas comunicacion con el cliente",
679,7,la asesora me atendio tarde y en la entrega tambien se tardo y me entrego unidad sin lavar,
680,10,me atendieron muy bien,
681,9,todo muy bien con mi asesora,
682,10,"todo bien,revisan bien la unidad te tienen informado de lo que necesita la unidad",
683,10,todo bien.,
684,9,nos piden llegar temprano y se tardan en atender cuanto uno llega,
685,8,"son muy incincivos, al principio muy serio mi asesor despues ya no bien la atencion",
686,10,solo falto proporcionar el numero celular del asesor.,
687,10,la atencion en caja es pesima,
688,10,"todo muy bien,solo tarda mucho el servicio de colocacion de piezas",
689,10,me asesoraron del servicio todo muy bien,
690,9,"solo el tiempo de entrega,no salin",
691,10,"la realidad,todo esta muy bien",
692,10,"nada qie mejorar, todo muy bien",
693,8,"bien,solo que tardaron en recibirme",
694,10,todos muy bien y atentos,
695,6,solicita factura y falta de seguimiento de su consultora yazareth,
696,0,"mala atencion por parte de control de calidad, fue muy grosera",
697,6,"no muetran las piezas que cambian, tardan muchos dias en diagnostico",
698,6,de gm no reconmdaria nada,
699,8,agilisar el resivo de las unidads creo nos ayudaria mucho,
700,8,entregas mas agiles,
701,0,"reporta golpes en carroceria, faro roto y vestiduras sucias",
702,8,el tiempo de respuesta de los mensajes,
703,10,comenta que su unidad sigue presentando la misma falla por la que ingreso al distribuidor,
704,8,mejor calidad del producto/ el servicio y el personal 10,
705,9,no tardar tanto en enviar presupuestos,
706,0,se me hace absurdo que pague mas de 14 mil pesos en un servicio y (paquete premium) y la unidad me la hayan entregado demasiado sucia (juan zarate ),
707,0,"no tiene comentarios pero es observacion, no enviar mensajes de que el auto ya esta listo si aun no lo pueden entregar",
708,10,la unidad quedo grasosa de los interiores (luis fernando),
709,9,solo 9 no tiene comentarios,
710,8,"ya estaba en camino y le dijeron que la unidad aun no estaba lista, le entregaron despues de la hora acordada",
711,8,no hacer presupuestos tan inflados de reparaciones que ademas no urgen,
712,8,tardaron en entregarle la unidad,
713,10,"todo bien en el servicio, tiene pendientes sus placas",
714,8,sugiere agregar fotos de ras refacciones remmplazadas como prueba de que si le colocaron nuevas piezas,
715,10,todo bien pero la mano de obra es muy cara,
716,8,en su segunda visita todo mejoro y califica con10,
717,10,muy recomendable el servicio sobre todo la atencion del valet es muy comodo enviar los autos asi.,
718,0,nunca me contestaron el telefono,
719,8,por la noche ese mismo dia me empezo a fallar la direccion... una muy desafortunada coincidencia 😐,
720,8,"tuvieron que regresar porque la unidad seguia sacando humo del escape, regreso al distribuidor y lo repararon",
721,10,todo estuvo en orden,
722,10,confirma calificacion de 10 aunque le hes molesto que le llamen para hacer otra encuesta,
723,10,todo salio bien,
724,6,reporta retrovisor roto,
725,10,"solo dejaria como observacion que no sellaron mi poliza el dia de mi servicio, me la sellaron el dia de hoy. y respecto al lavado, es la segunda vez y no esta bien lavado, ademas de que los asientos no los dejan como cuando ingreso la unidad (admon. lavador))",
726,6,le querian cobrar mas sin haber autorizado,
727,8,"el lavado de cortesia, pienso que deberia ser mejor (admon lavador)",
728,10,en el ultimo servicio si los recomiendo pero en el anterior del 05 de abril me quedo con una sensacion de que no se le da el seguimiento adecuado,
729,6,"mal trato por parte del personal, tardaron en recibir la unidad, el vehiculo estaba sucio por dentro (juan zarate )",
730,6,comenta que lo atendieron tarde y le quisieron vender algo que no necesitab a,
731,10,todo esta bien hasta el momento,
732,0,lo mensione en la encuesta de la.agencia,
733,9,cajas mas eficientes y solicita factura,
734,8,no le mostraron el servicio realizado ni revisaron las cosas que reporto,
735,8,comenta que tuvo inconveniente con el lavado que se realizo y ya lo reporto con alguien mas (luis fernando),
736,10,"excelente por hoy,siempre son muy atentos y amables",
737,10,"todo bien,todo perfecto",
738,10,toda esta perfecto,
739,10,es muy linda mi asesora,
740,10,"el servicio todo bien,solo que no pudieron hacer mi estetica interior",
741,9,es muy repetitivo estar brindando nuestros datos y los costos esta muy caro,
742,8,el tiempo de entrega respetarlo.y brindar mejor la informacion sobre lo que requiere unidad,
743,10,"ninguno,todo muy bien",
744,8,tiempo de entrega muy largo,
745,10,todo es muy bueno,
746,9,un poco mas de comunicacion,
747,10,muy agradecido por la atencion de fernando y de todos,
748,9,"todo muy bien como siempre, solo esta ocasion me entregaron mi unidad con un pequeno golpe.",
749,5,"mucho tiempo sin retroalimentacion por parte del asesor,amables pero no hay comunicacion",
750,10,siempre pido la primera cita y siempre llega tarde la persona que me atendera,
751,9,esta bien la atencion,
752,10,todo bastante bien,
753,3,ser mas claro en la informacion de los costos y que deshabiliten las opciones de servicio ya que no lo dirigen a donde uno quiere,
754,4,"la asistencia de mi asesor buena,el tiempo del trabajo muy extenso",
755,10,me cumplieron en tiempo y forma,
756,10,"ninguna ,todo bien",
757,10,hacer una cita por telefono es complicado,
758,8,por que no pasaron el escaner porque quieren mas dinero con sus diagnosticos de 3 dias,
759,8,"todo muy bien,solo mas comunicacion con el cliente",
760,10,todo muy bien gracia,
761,10,atencion increible especifica clara y supieron escuchar mis puntos del auto,
762,9,"todo esta perfecto,solo los tiempos de entrega",
763,9,la entrega es muy tardada,
764,7,"todo bien con la asesora,solo que la entrega se demoro muchisimo",
765,1,falta de comunicacion para recoger unidad,
766,9,la atencion mejoro muchisimo al cambio de personal,
767,10,"el sr arroyo muy profesional, cumplio en tiempo y forma",
768,6,"muy mal servicio,nadie me atiende",
769,1,el lavado de carroceria es horrible,
770,10,muy buena su atencion,
771,10,muy bueno y rapido,
772,10,bien todo bien,
773,9,"todo bien,solo que me entregaron unidad con un rayon",
774,8,solo mayor comunicacion y mayor compromiso con los tiempo de entrega,
775,10,excelente servicio en todo,
776,10,muy bueno,
777,10,buenisimo mi asesor eduardo muy rapido,
778,10,su atencion fue rapida,
779,8,"todo bien,solo mas rapidez en la entrega",
780,9,me cambiaron horario de entrega pero todo bien,
781,9,"la atencion fue muy buena,solo lo que me estan queriendo cobrar por los adicionales esta muy excesivo",
782,10,en esta ocasion excelente,
783,10,"excelente trabajo, solo el tiempo de entrega",
784,10,"muy bien, excelente",
785,10,siempre es excelente,
786,8,fue tardia la entrega,
787,10,bastante buena,
788,10,mejora desde mi ultima vista,
789,10,"todo muy bien,gracias",
790,10,"bien,todo bien",
791,1,"que sean mas cumplidos, respondan y expliquen que tiene y que no tiene garantia",
792,10,siempre ha sido muy rapido y amable mi asesor,
793,10,bien hasta el momento,
794,10,buenos precios,
795,8,mandarme las fotos de las reparaciones despues de la autorizacion,
796,1,"excesivo tiempo para cotizacion y reparacion ,asi como en el cobro 25 min para pagar. el asesor muy bien",
797,10,me atendieron bien y fue rapido,
798,10,la atencion es muy buena son atentos y muy amables,
799,9,"todo bien ,buena atencion",
800,10,una atencion muy buena muy atentos todos,
801,10,"excelente, cotizacion esta bien solo m.o muy alto",
802,10,vamos bien,
803,10,si me atendieron muy bien,
804,5,"el servicio deja mucho que desear, es muy malo.",
805,10,execelente,
806,9,"todo muy bien ,es mi primer servicio todo en tiempo y forma",
807,10,todo al 100,
808,9,lo unico es que me llego un msj de gm que la unidad no estaba lista cuando llame me dijeron que no,
809,10,"mantenerse en contacto para saber como va el servicio, desinformacion en llamada y whatsapp",
810,9,la espera en el cajero,
811,10,no lo lavaron al 100% como le dijeron,
812,10,cita en linea,
813,6,no le contestan en servicio,
814,10,bien trabajado,
815,9,mas rapidez en el servicio,
816,9,tood muy bien,
817,10,aguarda,
818,6,"servicio deja mucho que desear, no hay seguimiento, no va a regresar",
819,10,todo muy bien y excelente atencion,
820,10,"todo bien ,puntualidad y velocidad",
821,8,cuando hable me dijeron que tenia dos campanas y cuando vine solo dijeron que una,
822,10,es buena,
823,8,"todo bien, el proceso es lento",
824,8,"su asesor esta desinformado, necesita mas informacion de garantias.",
825,9,que sigan con el servicio.,
826,10,"esta bien, no hay quejas.",
827,10,"todo bien, en orden.",
828,8,el tiempo de espera es muy tardado,
829,10,la persona que lp busco por whatsapp no le comento sobre su campana,
830,10,"todo bien, agradezco el servicio",
831,10,"todo bien, el tiempo de espera es el indicado.",
832,10,muy buen servicio.,
833,10,los asesores siempre han sido muy agradables,
834,10,excelente servicio desde que llegue,
835,10,"todo bie, solo que no me gusto que me entregaran mojado el auto",
836,10,precios altos de focos,
837,10,precios altos,
838,9,"tiempo de espera, fue mas de hora y media esperando",
839,10,"no les dieron de lo que le hicieron, o como se encuentra su carro. mas explicito.",
840,10,no hay lugar para estacionarse,
841,10,todo le han resuelto correctamente,
842,10,"todo bien, menos un pago de cargos moratoria, no han hecho la devolucion, ni me han dado respuesta.",
843,7,en el servicio no se le observo que requeria cambio de balatas y no le fijaron que requeria cambio de filtro,
844,10,esta muy caro,
845,9,mucho tiempo de espera,
846,10,"todo bien, pero hoy fue tardada la entrega.",
847,0,costos excesivos,
848,8,"se tardan mucho en las entregas, hasta 2 horas ha esperado.",
849,5,no me gusto que ni me podia comunicar con nadie,
850,8,cajas es tardado,
851,6,"mala informacion, y al final otro precio, quieren cobrar mas.",
852,2,"la atencion de la asesora fue pesima, el gerente me atendio bien hoy",
853,9,"todo esta bien, pero en caja es muy tardado o no tienen cambio.",
854,10,"esta bien todo menos caja, tardan mucho",
855,10,"todo bien, muy atento el asesor",
856,10,"en caja es mucha espera, y no le mandaron cotizacion.",
857,8,tardan las refacciones y es muy raro,
858,10,todo bien hasta el momento,
859,10,es muy lenta la caja,
860,10,"agradecida por su atencion, todo bien.",
861,10,muchos dias para lo que le hicieron,
862,9,extencion de horario en la recepcion como en la entrega,
863,10,tofo bien,
864,10,"se tardan mucho en llegar las refacciones, y afecta en el tiempo de entrega, en este caso fue de un mes.",
865,5,"no quiso compartio los codigos el asesor, es ilogico si es su camioneta. no le dieron alternativas, le quedo un sabor de boca amargo.",
866,6,cumpliendo en el horario de entrega,
867,10,deberia de haber llamadas y mensajes desde temprano.,
868,10,precios alto,
869,10,"le gustaria que la atencion en linea, se diera mas informacion",
870,4,amabilidad en cajas,
871,9,cajas son muy tardadas,
872,10,en caja fue tardado,
873,5,cliente insatisfecho por golpe a su vehiculo,
874,6,tenia la cita a las 13:30 y me atendieron a las15:30 pedi una foto de donde quitaron un fusible quedaron en mandarla en unos minutos y todavia no lo hacen,
875,9,seguir mejorando,
876,6,ya es el 3er servicio y siempre me quedan mal con el envio de mi factura y el xml.,
877,10,pendiente por entrega de placas,
878,6,reporta rayones en la unidad,
879,10,todo en orden con la unidad,
880,6,6 meses para que no dieran una refaccion que se pago de contado y no hubo ni una disculpa o compensacion. el gerente por lo mismo entonces es peor! en serio el trato es deplorable,
881,10,todo muy bien solo no le sellaron la poliza,
882,10,tiene encendido el testigo de los neumaticos,
883,10,"todo estuvo muy bien, el proceso fue rapido y agendar la cita fue muy sencillo",
884,10,confirma calificacion,
885,8,no le indicaron sus adicionales,
886,9,no le indicaron sus adicionales/,
887,6,la unidad ingreso con el check encendido y se la entregaron igual,
888,8,"hasta ahora todo bien, la atencion, los tiempos",
889,6,no le hicieron nada a ala unidad y no le explicaron por que tenia que quitarle los sensores,
890,8,5cm/ presenta un ruido solicita agendar cita,
891,9,no saturarla de mensajes ya estaba realizando el servicio y le mandaron mensaje de que agendara cita para su servicio,
892,8,mas especificos en sus costos,
893,8,"publicidad enganosa, no le hicieron vlaida una promocion",
894,6,muy informales te dicen un horario y el carro dos horas despues te lo entregan mi agente le llamas y no te responde para saber de tu unidad de verdad muy atento reo muy mala esperiencia en servicio/ 2cm,
895,6,pendiente por reparacion desde 13/05/24,
896,10,"la verdad siempre es un buen servicio y atencion , gracias",
897,6,sigue haciendo lo mismo,
898,10,"todo bien, solo entregarles una hoja en donde diga que se le realizo a la unidad, y no cambiar los precios de pagin a",
899,6,le entregaron una hora despues el servico fue muy bueno pero la atencion del consultor no fue la mejor,
900,8,comunucacion mas rapida y efectiva por parte de la asesora,
901,10,"todo bien, solicita cotizacion de sus frenos/ se pide al consultor cotizacion",
902,7,le enviaron un presupuesto y despues se lo modificaron y era mas alto/ se pide al consultor envie el presupuesto,
903,8,"pidio que la agendaran con un consultor en especial y no lo hicieron tuvo que venir al distribuidor para agendar cita, pide que no la vuelvam a poner con fernando c",
904,8,solo califica sin comentarios / 3cm,
905,0,manejan distintos precios por canales diferentes,
906,9,cumplir con los horarios de entrega,
907,8,los tiempos de atencion tardaron una semana en reponer la bateria de mi camioneta/ 5cm,
908,6,molesto por tantas encuestas,
909,6,"no quiere contestar la encuesta, pidio revisaran un ruido y no lo hicieron, todo lo hacen automatizado sin detalles",
910,8,muuuuy caro,
911,0,a parte su servicio y costo de refacciones estan fuera de toda proporcion/ 5cm,
912,6,precios muy altos y tiempos de entrega,
913,10,"todo estuo bien, solo fato mas seguimiento y confirmacion de entrega",
914,10,todo muy puntual y en orden,
915,6,"no resolvieron sus dudas, le entregaron la llave aplastada, le dieron un kit de reparacion pero eso no fue suficiente",
916,6,"mi ultima visita fue muy triste y me quede decepcionada. tus especialistas no son profesionales. ire a otro centro de servicio. cambiaron los precios del servicio, presentandome un hecho consumado.",
917,10,edurdo muy buen servicio,
918,6,"ha ingresado 3 veces la unidad y ha fallado por frenos, ingreso anteriormente en pozarica tiene varios tickets con el cac quien 4-35533536467",
919,8,"fue un servicio normal, no le gusta dar calificaciones",
920,8,tardaron mucho en llegar las piezas,
921,6,"en cunato al servicio bien, no hubo seguimiento responde el sr.oscar cuelga",
922,8,tiene otra unidad en el distribiuidor y no le han dado seguimiento,
923,10,parece que todo bien,
924,8,"no sabria que decirle, creo que en general trabajan bien, me parece que podrian tener un mejor hojalatero!",
925,8,"explicxacion del servicio , se encendio un testigo",
926,6,"tengo inconformidad porque la lleve a servicio y me hicieron un diagnostico y tambien se le hice, ahora no funciona mi turbo.",
927,6,"piden que sean puntuales para la llegada y tardan mucho en recibir, la unidad la siguen probando y no pueden decir si fue bueno el servicio",
928,6,"mejorar la comunicacion, no hay servisio de vallet",
929,10,"todo estuvo perfecto/ contesta erik, el otro numero le pertenece a su jefe/ 2cm",
930,6,envio de factura,
931,6,falta de seguimiento,
932,6,"le quisieron cobrar de mas por servicios que no necesitaba su unidad, tardaron en entregarle la unidad y no le explicaron el servicio detalladamente ni mostraron las refacciones reemplazadas",
933,6,desafortunadamente todo esto surge cuando te venden un auto y viene aparejado de informacion falsa erronea.,
934,8,cotizacion de cambio de balatas /no desea dar comentarios tal vez mas adelante lo haga,
935,6,"no saben la atencion al cliente, no hicieron nada extraordinario, solo dan atencion basica",
936,6,no continua con la llamada ni desea brindar informacion ya que su telefono lo identifico en rojo,
937,8,deberian tener mas beneficios y garantias no recomienda chevrolet,
938,10,"todo fue muy bueno, rapido y tuvieron la bateria en stock",
939,6,ingreso la unidad y ya no sirve el turbo,
940,6,fue mucho tiempo para el reemplazo de un foquito,
941,10,siempre la atienden excelente,
942,10,angel siempre ha sido una maravillosa persona y profesional.,
943,10,"que manden la constancia de situacion fiscal desde el principio, porque eso atrasa el proceso",
944,10,"todo bien, solo que no le hizo sentido que le recomendaron un liquido pata frenos",
945,9,el tiempo de espera fue demasiado,
946,10,"no,fue buena",
947,6,no le hicieron nada a la unidad,
948,10,el tiempo de espera es mucho,
949,10,"que no tienen servicio de grua, estaria bien ese servicio.",
950,10,todo ha sido muy positivo.,
951,9,"comunicacion, sin embargo todo estuvo bien hoy, me atendieron excelente.",
952,10,"todo bien, excelente servicio",
953,10,que tengan cuidado con los vehiculos porque les dan rayones,
954,10,que conserven el sistema que tienen y que lo mejoren,
955,9,"el sistema esta bien, caja es muy tardado",
956,10,"le dijeron de la bateria que la tenian en fechas diferentes, no le dieron informacion correcta.",
957,10,mantengan la puntualidad,
958,4,"informen bien y no hagan el proceso tan tardado y burocratico. no dieron seguimiento. siempre estan molestos los asesores, lo trataron pesimo, es maritimo.",
959,6,reporta rayon al momento de entrega.,
960,8,tardaron mucho en entregar la unidad,
961,10,todo muy bien y puntuales.,
962,10,"ninguno, excelente servicio",
963,10,todo muy bien.,
964,10,"la ocasion pasada que vino, no le dieron la poliza de seguida.",
965,10,bastante bien y rapido,
966,10,tiempo es demasiado,
967,8,en caja muy mala atencion. entregaron la unidad con polvo en carroceria. no recien lavada.,
968,10,"sigan siendo transparentes en la comunicacion, siempre hay seguimiento y se habla con la verdad, todo muy bien",
969,6,antes de que manden presupuesto revisen si el vehiculo tiene garantia y que no la dejen sin coche tantos dias.,
970,8,no ninguno,
971,7,cliente muy molesto por la demora en la entrega de su vehiculo,
972,10,todo esta bien.,
973,10,"que sigan haciendo bien su trabajo, te atienden bien desde que llegas",
974,10,la atencion esta genial y los tiempos super bien,
975,0,"comunicacion, el seguimiento no se le dio.",
976,10,me parecio muy bien el servicio y la atencion.,
977,10,"el proceso fue rapido, y agendar cita fue sencillo",
978,10,que siga la buena atencion,
979,9,"en los servicios no le ha ido bien, o sale con aranazos.",
980,10,"todo muy bien, estuvo muy rapido",
